first_name,last_name,age,children,email,job_title,home_loan,more_than_one_vehicle,fin_lit_review,savings,invest
Murry,Benfield,27,4,mbenfield0@youtube.com,Senior Financial Analyst,false,false,Never,22273.88,3
Coleman,Saladino,43,1,csaladino1@trellian.com,Physical Therapy Assistant,false,false,Often,22554.66,1
Cinderella,Kermannes,65,3,ckermannes2@webeden.co.uk,Health Coach III,true,false,Monthly,32704.0,2
Wenona,Voss,26,3,wvoss3@storify.com,Quality Control Specialist,true,false,Weekly,37746.47,3
Frayda,Burles,32,1,fburles4@baidu.com,Programmer Analyst III,true,true,Never,15054.9,5
Ealasaid,Dewen,42,0,edewen5@dagondesign.com,Accountant IV,true,false,Often,31842.69,2
Courtenay,Jacqueme,63,2,cjacqueme6@thetimes.co.uk,VP Quality Control,true,true,Seldom,38774.62,2
Clara,Piggen,65,2,cpiggen7@alibaba.com,VP Accounting,true,true,Never,33896.47,1
Dulciana,Janata,29,3,djanata8@wunderground.com,Computer Systems Analyst IV,true,true,Never,23470.38,1
Dionysus,Lambeth,25,1,dlambeth9@woothemes.com,Sales Representative,true,false,Seldom,34308.99,1
Davidde,Lamont,50,1,dlamonta@cdc.gov,Database Administrator IV,true,false,Never,22755.4,3
Ilsa,Woolbrook,46,2,iwoolbrookb@twitter.com,Design Engineer,false,false,Daily,28367.06,1
Riley,Gentry,44,2,rgentryc@printfriendly.com,Administrative Officer,true,false,Monthly,25658.06,2
Casey,Roughan,52,0,croughand@noaa.gov,Staff Accountant IV,false,false,Monthly,29330.39,1
Ragnar,Poletto,60,0,rpolettoe@aboutads.info,Database Administrator I,true,false,Daily,28250.88,4
Ailyn,Biasetti,53,1,abiasettif@gmpg.org,Nurse Practicioner,false,false,Seldom,20328.99,2
Had,Stanlike,49,1,hstanlikeg@theatlantic.com,Research Associate,true,false,Never,29258.01,4
Lisha,Jarratt,36,4,ljarratth@sourceforge.net,Analog Circuit Design manager,true,true,Seldom,29749.77,5
Gaylor,Whittlesey,53,1,gwhittleseyi@devhub.com,GIS Technical Architect,false,false,Never,32974.96,5
Rivy,Callingham,42,2,rcallinghamj@census.gov,Environmental Specialist,false,true,Often,32641.67,5
Brigit,Nisuis,45,0,bnisuisk@dyndns.org,Nurse,false,true,Daily,32311.75,3
Allis,Giacomi,49,1,agiacomil@state.tx.us,Research Associate,true,true,Daily,34255.66,4
Cully,Blundell,30,0,cblundellm@studiopress.com,Compensation Analyst,false,false,Never,23767.14,2
Idalia,Hassan,33,3,ihassann@yelp.com,Geologist I,true,true,Weekly,32938.96,4
Wallis,Base,32,4,wbaseo@seesaa.net,Account Executive,false,false,Weekly,32208.57,5
Cindra,MacGilmartin,41,0,cmacgilmartinp@blogs.com,Technical Writer,false,false,Daily,34518.0,2
Jeane,Dametti,59,2,jdamettiq@feedburner.com,Programmer Analyst III,false,false,Often,37908.11,3
Pren,McGeouch,61,3,pmcgeouchr@jalbum.net,Compensation Analyst,true,false,Never,33930.38,3
Clement,Benediktovich,48,2,cbenediktovichs@vk.com,Health Coach IV,false,true,Weekly,31281.44,3
Rebe,Lavrick,54,3,rlavrickt@meetup.com,Information Systems Manager,true,true,Seldom,32853.41,4
Beauregard,Pennone,63,0,bpennoneu@cornell.edu,Budget/Accounting Analyst I,false,false,Monthly,27222.6,5
Nonah,Pays,47,3,npaysv@npr.org,Payment Adjustment Coordinator,true,false,Never,24781.37,3
Adelbert,Snailham,62,2,asnailhamw@merriam-webster.com,Web Developer III,true,true,Once,35228.37,2
Mary,Lepard,26,2,mlepardx@yahoo.co.jp,Assistant Manager,false,false,Daily,25568.38,1
Kimmi,Hollibone,48,2,kholliboney@nymag.com,VP Accounting,true,false,Once,30999.88,4
Oona,Ambridge,28,1,oambridgez@ehow.com,Food Chemist,true,false,Once,37072.36,4
Trev,Matijasevic,29,2,tmatijasevic10@go.com,Junior Executive,false,false,Yearly,26089.58,4
Evy,Hawkey,59,1,ehawkey11@seattletimes.com,GIS Technical Architect,false,true,Seldom,40400.85,3
Manya,Hubback,39,0,mhubback12@businessweek.com,Associate Professor,true,true,Daily,27829.48,3
Teri,Besantie,40,2,tbesantie13@globo.com,Senior Quality Engineer,false,false,Seldom,28072.55,1
Lurleen,Mico,54,0,lmico14@engadget.com,Financial Analyst,false,true,Weekly,34151.59,4
Jordanna,Shuker,57,2,jshuker15@arizona.edu,Administrative Officer,false,false,Seldom,31083.12,4
Lita,Redsell,52,0,lredsell16@wix.com,Accountant IV,true,true,Daily,28219.06,1
Mack,MacAnellye,39,3,mmacanellye17@admin.ch,Research Nurse,false,true,Seldom,29717.21,1
Ruperta,Eichmann,30,1,reichmann18@nsw.gov.au,Technical Writer,false,true,Daily,30993.3,5
Horatius,Haythorn,65,3,hhaythorn19@bandcamp.com,Actuary,false,true,Monthly,26228.35,3
Marie-ann,Considine,33,0,mconsidine1a@e-recht24.de,Geologist III,true,false,Often,23315.14,4
Candi,Burgis,39,1,cburgis1b@si.edu,Engineer IV,false,true,Often,30364.83,1
